"filename", "language", "TypeScript", "Vue", "SCSS", "XML", "comment", "blank", "total"
"d:\OneDrive\桌面\vue3-admin-template\vue3-admin-template\src\utils\token.ts", "TypeScript", 9, 0, 0, 0, 3, 1, 13
"d:\OneDrive\桌面\vue3-admin-template\vue3-admin-template\src\views\404\index.vue", "Vue", 0, 5, 0, 0, 0, 2, 7
"d:\OneDrive\桌面\vue3-admin-template\vue3-admin-template\src\views\ad\permission\index.vue", "Vue", 0, 5, 0, 0, 0, 2, 7
"d:\OneDrive\桌面\vue3-admin-template\vue3-admin-template\src\views\ad\roler\index.vue", "Vue", 0, 5, 0, 0, 0, 2, 7
"d:\OneDrive\桌面\vue3-admin-template\vue3-admin-template\src\views\ad\user\index.vue", "Vue", 0, 16, 0, 0, 0, 3, 19
"d:\OneDrive\桌面\vue3-admin-template\vue3-admin-template\src\views\home\index.vue", "Vue", 0, 13, 0, 0, 0, 5, 18
"d:\OneDrive\桌面\vue3-admin-template\vue3-admin-template\src\views\login\index.vue", "Vue", 0, 158, 0, 0, 0, 11, 169
"d:\OneDrive\桌面\vue3-admin-template\vue3-admin-template\src\views\product\attr\index.vue", "Vue", 0, 285, 0, 0, 1, 13, 299
"d:\OneDrive\桌面\vue3-admin-template\vue3-admin-template\src\views\product\sku\index.vue", "Vue", 0, 7, 0, 0, 0, 2, 9
"d:\OneDrive\桌面\vue3-admin-template\vue3-admin-template\src\views\product\spu\index.vue", "Vue", 0, 157, 0, 0, 0, 9, 166
"d:\OneDrive\桌面\vue3-admin-template\vue3-admin-template\src\views\product\spu\skuForm.vue", "Vue", 0, 5, 0, 0, 0, 3, 8
"d:\OneDrive\桌面\vue3-admin-template\vue3-admin-template\src\views\product\spu\spuForm.vue", "Vue", 0, 139, 0, 0, 0, 11, 150
"d:\OneDrive\桌面\vue3-admin-template\vue3-admin-template\src\views\product\trademark\index.vue", "Vue", 0, 359, 0, 0, 4, 25, 388
"d:\OneDrive\桌面\vue3-admin-template\vue3-admin-template\src\views\screen\index.vue", "Vue", 0, 5, 0, 0, 0, 2, 7
"d:\OneDrive\桌面\vue3-admin-template\vue3-admin-template\src\vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 1, 1, 2
"Total", "-", 772, 1727, 181, 185, 191, 246, 3302
