"filename", "language", "Vue", "TypeScript", "comment", "blank", "total"
"d:\OneDrive\桌面\vue3-admin-template\vue3-admin-template\src\App.vue", "Vue", -7, 0, 0, -1, -8
"d:\OneDrive\桌面\vue3-admin-template\vue3-admin-template\src\api\product\attr\index.ts", "TypeScript", 0, 37, 10, 4, 51
"d:\OneDrive\桌面\vue3-admin-template\vue3-admin-template\src\api\product\attr\type.ts", "TypeScript", 0, 66, 2, 10, 78
"d:\OneDrive\桌面\vue3-admin-template\vue3-admin-template\src\api\product\spu\index.ts", "TypeScript", 0, 33, 6, 7, 46
"d:\OneDrive\桌面\vue3-admin-template\vue3-admin-template\src\api\product\spu\type.ts", "TypeScript", 0, 73, 3, 11, 87
"d:\OneDrive\桌面\vue3-admin-template\vue3-admin-template\src\api\product\trademark\index.ts", "TypeScript", 0, 9, 2, 3, 14
"d:\OneDrive\桌面\vue3-admin-template\vue3-admin-template\src\api\product\trademark\type.ts", "TypeScript", 0, 3, 0, 0, 3
"d:\OneDrive\桌面\vue3-admin-template\vue3-admin-template\src\components\Category\index.vue", "Vue", 108, 0, 0, 7, 115
"d:\OneDrive\桌面\vue3-admin-template\vue3-admin-template\src\components\index.ts", "TypeScript", 0, 1, 0, -1, 0
"d:\OneDrive\桌面\vue3-admin-template\vue3-admin-template\src\layout\menu\index.vue", "Vue", 0, 0, 0, 1, 1
"d:\OneDrive\桌面\vue3-admin-template\vue3-admin-template\src\perimissiion.ts", "TypeScript", 0, -1, 0, 0, -1
"d:\OneDrive\桌面\vue3-admin-template\vue3-admin-template\src\store\index.ts", "TypeScript", 0, 0, 0, -1, -1
"d:\OneDrive\桌面\vue3-admin-template\vue3-admin-template\src\store\modules\category.ts", "TypeScript", 0, 56, 10, 3, 69
"d:\OneDrive\桌面\vue3-admin-template\vue3-admin-template\src\views\product\attr\index.vue", "Vue", 278, 0, 1, 11, 290
"d:\OneDrive\桌面\vue3-admin-template\vue3-admin-template\src\views\product\spu\index.vue", "Vue", 150, 0, 0, 7, 157
"d:\OneDrive\桌面\vue3-admin-template\vue3-admin-template\src\views\product\spu\skuForm.vue", "Vue", 5, 0, 0, 3, 8
"d:\OneDrive\桌面\vue3-admin-template\vue3-admin-template\src\views\product\spu\spuForm.vue", "Vue", 139, 0, 0, 11, 150
"d:\OneDrive\桌面\vue3-admin-template\vue3-admin-template\src\views\product\trademark\index.vue", "Vue", 98, 0, 0, 8, 106
"Total", "-", 771, 277, 34, 83, 1165
