"filename", "language", "TypeScript", "Vue", "SCSS", "XML", "JSON", "comment", "blank", "total"
"e:\backWorkProject\backWork\src\components\Svgicon\index.vue", "Vue", 0, 30, 0, 0, 0, 2, 4, 36
"e:\backWorkProject\backWork\src\components\index.ts", "TypeScript", 14, 0, 0, 0, 0, 7, 3, 24
"e:\backWorkProject\backWork\src\directive\has.ts", "TypeScript", 11, 0, 0, 0, 0, 2, 2, 15
"e:\backWorkProject\backWork\src\layout\index.vue", "Vue", 0, 105, 0, 0, 0, 6, 9, 120
"e:\backWorkProject\backWork\src\layout\logo\index.vue", "Vue", 0, 23, 0, 0, 0, 0, 2, 25
"e:\backWorkProject\backWork\src\layout\main\index.vue", "Vue", 0, 49, 0, 0, 0, 2, 3, 54
"e:\backWorkProject\backWork\src\layout\menu\index.vue", "Vue", 0, 68, 0, 0, 0, 4, 6, 78
"e:\backWorkProject\backWork\src\layout\tabbar\index.vue", "Vue", 0, 49, 0, 0, 0, 1, 2, 52
"e:\backWorkProject\backWork\src\layout\tabbar\left_tabbar\index.vue", "Vue", 0, 35, 0, 0, 0, 5, 5, 45
"e:\backWorkProject\backWork\src\layout\tabbar\right_tabbar\index.vue", "Vue", 0, 141, 0, 0, 0, 2, 8, 151
"e:\backWorkProject\backWork\src\main.ts", "TypeScript", 22, 0, 0, 0, 0, 9, 2, 33
"e:\backWorkProject\backWork\src\perimissiion.ts", "TypeScript", 43, 0, 0, 0, 0, 29, 5, 77
"e:\backWorkProject\backWork\src\router\index.ts", "TypeScript", 13, 0, 0, 0, 0, 2, 3, 18
"e:\backWorkProject\backWork\src\router\routes.ts", "TypeScript", 244, 0, 0, 0, 0, 59, 4, 307
"e:\backWorkProject\backWork\src\setting.ts", "TypeScript", 5, 0, 0, 0, 0, 1, 1, 7
"e:\backWorkProject\backWork\src\store\index.ts", "TypeScript", 5, 0, 0, 0, 0, 3, 1, 9
"e:\backWorkProject\backWork\src\store\modules\attr.ts", "TypeScript", 48, 0, 0, 0, 0, 2, 2, 52
"e:\backWorkProject\backWork\src\store\modules\category.ts", "TypeScript", 56, 0, 0, 0, 0, 10, 3, 69
"e:\backWorkProject\backWork\src\store\modules\setting.ts", "TypeScript", 10, 0, 0, 0, 0, 2, 2, 14
"e:\backWorkProject\backWork\src\store\modules\sku.ts", "TypeScript", 48, 0, 0, 0, 0, 2, 2, 52
"e:\backWorkProject\backWork\src\store\modules\spu.ts", "TypeScript", 38, 0, 0, 0, 0, 5, 3, 46
"e:\backWorkProject\backWork\src\store\modules\user.ts", "TypeScript", 58, 0, 0, 0, 0, 44, 9, 111
"e:\backWorkProject\backWork\src\store\types\type.ts", "TypeScript", 18, 0, 0, 0, 0, 1, 4, 23
"e:\backWorkProject\backWork\src\styles\index.scss", "SCSS", 0, 0, 12, 0, 0, 1, 3, 16
"e:\backWorkProject\backWork\src\styles\reset.scss", "SCSS", 0, 0, 164, 0, 0, 5, 21, 190
"e:\backWorkProject\backWork\src\styles\variable.scss", "SCSS", 0, 0, 5, 0, 0, 6, 4, 15
"e:\backWorkProject\backWork\src\utils\request.ts", "TypeScript", 47, 0, 0, 0, 0, 15, 5, 67
"e:\backWorkProject\backWork\src\utils\request2.ts", "TypeScript", 38, 0, 0, 0, 0, 6, 2, 46
"e:\backWorkProject\backWork\src\utils\time.ts", "TypeScript", 14, 0, 0, 0, 0, 2, 1, 17
"e:\backWorkProject\backWork\src\utils\token.ts", "TypeScript", 9, 0, 0, 0, 0, 3, 1, 13
"e:\backWorkProject\backWork\src\views\404\index.vue", "Vue", 0, 10, 0, 0, 0, 1, 2, 13
"e:\backWorkProject\backWork\src\views\ad\permission\index.vue", "Vue", 0, 163, 0, 0, 0, 3, 6, 172
"e:\backWorkProject\backWork\src\views\ad\roler\index.vue", "Vue", 0, 357, 0, 0, 0, 4, 10, 371
"e:\backWorkProject\backWork\src\views\ad\user\index.vue", "Vue", 0, 489, 0, 0, 0, 7, 5, 501
"e:\backWorkProject\backWork\src\views\employee\addEmployee.vue", "Vue", 0, 323, 0, 0, 0, 9, 18, 350
